"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","view_history","stimulus","block","condition","expected_response","effective_response","correct"
"1871","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","1875","0.0-0.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","1882","0.0-1.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","fullscreen","2","3476","0.0-2.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","4478","0.0-3.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.12","","","","","","",""
"3027","","","instructions","4","7505","0.0-4.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1186},{""page_index"":1,""viewing_time"":610},{""page_index"":2,""viewing_time"":437},{""page_index"":3,""viewing_time"":381},{""page_index"":4,""viewing_time"":412}]","","","","","",""
"827","["" ""]","","html-keyboard-response","5","13624","0.0-5.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"637","["" ""]","","html-keyboard-response","6","17732","0.0-5.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"","[]","","html-keyboard-response","7","21839","0.0-5.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","0","true"
"492","["" ""]","","html-keyboard-response","8","25952","0.0-5.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"","[]","","html-keyboard-response","9","30064","0.0-5.0-0.4","5","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","0","true"
"1641","["" ""]","","html-keyboard-response","10","31705","0.0-6.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","11","38608","0.0-7.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","12","44744","0.0-8.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"","[]","","html-keyboard-response","13","48856","0.0-8.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"382","["" ""]","","html-keyboard-response","14","52974","0.0-8.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","SA","Go","1","1","true"
"","[]","","html-keyboard-response","15","57088","0.0-8.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"929","["" ""]","","html-keyboard-response","16","58022","0.0-9.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","17","64145","0.0-10.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","IC","NoGo","0","0","true"
"255","["" ""]","","html-keyboard-response","18","68256","0.0-10.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","IC","Go","1","1","true"
"341,754","["" "","" ""]","","html-keyboard-response","19","72371","0.0-10.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapeup","IC","Go","1","2","false"
"390","["" ""]","","html-keyboard-response","20","76481","0.0-10.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","shapedown","IC","NoGo","0","1","false"
"13231","["" ""]","","html-keyboard-response","21","89713","0.0-11.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","22","92723","0.0-12.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","","",""
