"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","stimulus","block","condition","expected_response","effective_response","correct"
"2085","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","2093","0.0-0.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","2102","0.0-1.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"","","","fullscreen","2","4565","0.0-2.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","5568","0.0-3.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.24","","","","","",""
"","","","fullscreen","4","7817","0.0-4.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","5","13936","0.0-5.0-0.0","1","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"","[]","","html-keyboard-response","6","18044","0.0-5.0-0.1","2","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"","[]","","html-keyboard-response","7","22157","0.0-5.0-0.2","3","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"","[]","","html-keyboard-response","8","26268","0.0-5.0-0.3","4","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"5717","["" ""]","","html-keyboard-response","9","31987","0.0-6.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"2086,3015","["" "","" ""]","","html-keyboard-response","10","38105","0.0-7.0-0.0","1","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapedown","IC","NoGo","0","2","false"
"604,2242","["" "","" ""]","","html-keyboard-response","11","42218","0.0-7.0-0.1","2","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapeup","IC","Go","1","2","false"
"474,1950","["" "","" ""]","","html-keyboard-response","12","46329","0.0-7.0-0.2","3","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapeup","IC","Go","1","2","false"
"591","["" ""]","","html-keyboard-response","13","50437","0.0-7.0-0.3","4","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","shapedown","IC","NoGo","0","1","false"
"996","["" ""]","","html-keyboard-response","14","51435","0.0-8.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","54458","0.0-9.0","0","p","l","m","4000","4100","13.3","52","335.3210206385759","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
